AREA DEM REP OTH
AREA DEM REP OTH
TX-5 100743 173836 5834
TX-6 149530 179507 10955
TX-7 159529 149054 5542
TX-8 97409 277327 7735
TX-9 172938 49575 6594
TX-10 187686 217216 8992
TX-11 53394 232568 5811
TX-12 121250 233853 11918
TX-13 50477 217124 5907
TX-14 118574 190541 0
TX-15 115605 109017 4295
TX-16 154108 84006 0
TX-17 125565 171390 9918
TX-18 180952 58033 7910
TX-19 60583 198198 6271
TX-20 175078 89628 6017
TX-21 205780 235740 12230
TX-22 181998 210259 15791
TX-23 137693 149395 8369
TX-24 163326 167910 12785
TX-25 165697 220088 7738
TX-26 161009 261963 9243
TX-27 95466 172305 5482
TX-28 137494 91925 6425
TX-29 111305 42840 2328
TX-30 204928 48685 10851
TX-31 176293 212695 9069
TX-32 178542 157867 7278
TX-33 105317 39638 12651
TX-34 111439 84119 5469
TX-35 176373 80795 12629
TX-36 73418 222712 6419
UT-1 104194 237988 169
UT-2 129762 208997 15465
UT-3 96067 246674 16186
UT-4 175923 179688 21119
VT-1 238827 95830 20180
VA-1 186923 260614 641
VA-2 185733 165031 9513
VA-3 233326 107299 736
VA-4 241142 149625 578
VA-5 190315 210988 1014
VA-6 134729 246606 478
VA-7 230893 222623 823
VA-8 301454 95365 926
VA-9 0 271851 17423
VA-10 268734 206253 559
VA-11 280725 111380 1136
WA-1 249944 176407 511
WA-2 255252 148384 962
WA-3 181347 235579 977
WA-4 102667 202108 488
WA-5 155737 247815 808
WA-6 247429 168783 1004
WA-7 387109 78240 1113
WA-8 213123 198423 566
WA-9 258771 89697 582
WA-10 288977 0 51430
WV-1 81177 180488 0
WV-2 100799 172195 0
WV-3 64927 161585 0
WI-1 163170 238271 313
WI-2 318523 138306 376
WI-3 199870 189524 224
WI-4 232668 70769 8260
WI-5 175902 265434 263
WI-6 164239 238874 220
WI-7 162741 252048 218
WI-8 149558 268173 107
WY-1 66576 185732 18584
